City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Raudeberg,NO,2020-07-11 03:32:48,61.99,5.14,48.99,89,100,11.01
99,Nhulunbuy,AU,2020-07-11 03:32:48,-12.23,136.77,86.0,55,40,18.34
100,Umaria,IN,2020-07-11 03:32:48,23.53,80.83,80.89,78,100,12.66
101,Nome,US,2020-07-11 03:32:48,64.5,-165.41,71.01,46,1,17.22
102,Longyearbyen,SJ,2020-07-11 03:29:04,78.22,15.64,46.4,75,90,23.04
103,Port Alfred,ZA,2020-07-11 03:32:49,-33.59,26.89,60.01,58,27,8.99
104,Deputatskiy,RU,2020-07-11 03:32:49,69.3,139.9,69.39,34,93,4.16
105,Sitka,US,2020-07-11 03:32:49,57.05,-135.33,55.4,93,90,8.05
106,Germantown,US,2020-07-11 03:32:42,39.17,-77.27,79.0,83,75,3.29
107,Rupert,US,2020-07-11 03:32:49,42.62,-113.68,73.4,40,1,3.36
108,Ketchikan,US,2020-07-11 03:32:49,55.34,-131.65,57.2,93,90,27.51
109,Conakry,GN,2020-07-11 03:32:49,9.54,-13.68,77.97,85,99,14.14
110,Barrow,US,2020-07-11 03:32:49,71.29,-156.79,37.4,74,90,9.17
111,Dale,US,2020-07-11 03:29:26,38.17,-86.99,73.4,73,1,3.36
112,Salalah,OM,2020-07-11 03:32:50,17.02,54.09,80.6,94,90,8.05
113,Puerto Ayora,EC,2020-07-11 03:32:50,-0.74,-90.35,66.99,95,78,7.0
114,Khatanga,RU,2020-07-11 03:32:50,71.97,102.5,50.09,87,100,17.27
115,Provideniya,RU,2020-07-11 03:32:50,64.38,-173.3,58.26,62,100,5.37
116,Kawardha,IN,2020-07-11 03:32:50,22.02,81.25,83.86,68,100,8.97
117,Airai,TL,2020-07-11 03:32:50,-8.93,125.41,69.3,79,65,5.39
118,Husavik,IS,2020-07-11 03:32:50,66.04,-17.34,44.6,87,40,1.79
119,Yellowknife,CA,2020-07-11 03:32:50,62.46,-114.35,70.0,56,20,5.82
120,Klyuchi,RU,2020-07-11 03:32:51,52.27,79.17,71.92,51,2,10.36
121,Tamworth,GB,2020-07-11 03:32:51,52.63,-1.7,51.8,81,1,5.82
122,Grafton,US,2020-07-11 03:31:46,42.21,-71.69,75.0,94,90,9.17
123,Werda,BW,2020-07-11 03:32:51,-25.27,23.28,46.51,68,66,17.38
124,Vestmannaeyjar,IS,2020-07-11 03:32:51,63.44,-20.27,51.44,95,100,5.19
125,Nevel,RU,2020-07-11 03:32:52,56.02,29.93,63.21,97,100,10.33
126,Hithadhoo,MV,2020-07-11 03:32:52,-0.6,73.08,83.84,73,81,9.6
127,Benicarlo,ES,2020-07-11 03:32:52,40.42,0.43,68.0,69,0,5.99
128,Colares,PT,2020-07-11 03:32:52,38.8,-9.45,66.0,86,0,14.07
129,Northam,GB,2020-07-11 03:32:52,51.03,-4.22,48.99,96,0,1.99
130,Bethel,US,2020-07-11 03:27:56,41.37,-73.41,71.6,94,90,12.75
131,Tasiilaq,GL,2020-07-11 03:32:52,65.61,-37.64,37.4,93,0,4.7
132,Meulaboh,ID,2020-07-11 03:32:53,4.14,96.13,85.59,61,97,3.44
133,Berlevag,NO,2020-07-11 03:32:53,70.86,29.09,48.49,85,100,8.57
134,Saint-Georges,GD,2020-07-11 03:32:53,12.06,-61.75,80.06,84,100,16.8
135,Atar,MR,2020-07-11 03:32:53,20.52,-13.05,81.21,60,0,8.32
136,Pevek,RU,2020-07-11 03:32:53,69.7,170.31,54.25,71,100,7.36
137,Avarua,CK,2020-07-11 03:32:53,-21.21,-159.78,75.2,78,24,2.24
138,Palauig,PH,2020-07-11 03:32:53,15.44,119.9,86.88,67,100,6.33
139,Necochea,AR,2020-07-11 03:32:53,-38.55,-58.74,36.0,87,0,8.99
140,Southbridge,US,2020-07-11 03:30:02,42.08,-72.03,73.99,97,100,3.0
141,Tisul,RU,2020-07-11 03:32:54,55.76,88.31,64.8,69,11,9.75
142,Liverpool,GB,2020-07-11 03:28:26,53.41,-2.98,55.4,71,2,11.41
143,Shipunovo,RU,2020-07-11 03:32:54,52.16,82.22,67.71,60,31,11.1
144,Itarema,BR,2020-07-11 03:27:59,-2.92,-39.92,75.96,85,94,9.42
145,Sola,VU,2020-07-11 03:32:54,-13.88,167.55,84.2,79,75,8.05
146,Mateo,HN,2020-07-11 03:32:55,14.08,-87.32,71.6,100,1,3.36
147,Nikolskoye,RU,2020-07-11 03:32:55,59.7,30.79,59.0,93,90,4.47
148,Souillac,MU,2020-07-11 03:32:55,-20.52,57.52,66.2,88,75,18.34
149,Mabai,CN,2020-07-11 03:32:55,23.01,104.45,63.9,100,100,5.82
150,Yeppoon,AU,2020-07-11 03:29:34,-23.13,150.73,75.2,50,40,5.82
151,San Policarpo,PH,2020-07-11 03:32:55,12.18,125.51,85.64,69,100,8.99
152,Yatou,CN,2020-07-11 03:32:55,37.15,122.38,79.77,59,100,6.64
153,Monte Patria,CL,2020-07-11 03:32:56,-30.69,-70.95,58.73,40,7,0.16
154,Ola,RU,2020-07-11 03:32:56,59.58,151.28,56.98,81,90,7.54
155,Araouane,ML,2020-07-11 03:32:56,18.9,-3.53,92.08,37,64,19.93
156,Ixtapa,MX,2020-07-11 03:32:56,20.7,-105.2,86.0,79,90,5.82
157,Pasighat,IN,2020-07-11 03:32:56,28.07,95.33,76.64,89,100,5.46
158,Sterling,US,2020-07-11 03:30:39,39.01,-77.43,80.6,74,75,4.7
159,Atuona,PF,2020-07-11 03:32:56,-9.8,-139.03,79.79,79,16,20.24
160,Ambilobe,MG,2020-07-11 03:32:57,-13.2,49.05,68.7,70,0,4.5
161,Noumea,NC,2020-07-11 03:28:11,-22.28,166.46,72.0,64,75,19.46
162,Kaliganj,BD,2020-07-11 03:32:57,23.41,89.14,89.06,73,100,13.49
163,Remuna,IN,2020-07-11 03:32:57,21.53,86.87,91.58,58,100,12.88
164,Upernavik,GL,2020-07-11 03:32:57,72.79,-56.15,42.4,85,96,8.7
165,Hasaki,JP,2020-07-11 03:32:57,35.73,140.83,87.01,74,75,18.34
166,Guozhen,CN,2020-07-11 03:32:57,34.37,107.36,68.72,83,100,6.69
167,Estelle,US,2020-07-11 03:30:08,29.85,-90.11,89.01,98,64,4.21
168,Parrita,CR,2020-07-11 03:31:50,9.52,-84.32,69.8,100,40,3.36
169,Faanui,PF,2020-07-11 03:32:58,-16.48,-151.75,77.56,80,21,19.95
170,Borba,BR,2020-07-11 03:32:58,-4.39,-59.59,74.3,87,3,2.26
171,Encheng,CN,2020-07-11 03:32:58,22.18,112.3,88.21,70,94,15.08
172,Ribeira Grande,PT,2020-07-11 03:32:58,38.52,-28.7,68.25,78,10,10.45
173,Mitsamiouli,KM,2020-07-11 03:32:58,-11.38,43.28,76.39,69,0,12.06
174,Banjarmasin,ID,2020-07-11 03:32:58,-3.32,114.59,78.8,100,40,2.24
175,Buin,CL,2020-07-11 03:32:59,-33.73,-70.75,46.4,100,100,3.36
176,Bam,IR,2020-07-11 03:32:59,29.11,58.36,89.85,13,0,18.81
177,Sobolevo,RU,2020-07-11 03:32:59,54.43,31.9,62.85,92,44,14.7
178,Caravelas,BR,2020-07-11 03:32:59,-17.71,-39.25,70.36,83,28,3.71
179,Tautira,PF,2020-07-11 03:32:59,-17.73,-149.15,80.6,65,75,3.36
